"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Campotéjar";"1229";"67";"1";"81.366965012205043";"0";"68";"47";"3";"18/02/2021"
"Cenes de la Vega";"8153";"521";"19";"233.04305163743408";"7";"527";"408";"11";"18/02/2021"
"Chauchina";"5552";"598";"14";"252.16138328530261";"3";"599";"376";"7";"18/02/2021"
"Chimeneas";"1251";"104";"0";"0";"0";"104";"62";"1";"18/02/2021"
"Churriana de la Vega";"15689";"1289";"37";"235.83402383835809";"6";"1297";"991";"28";"18/02/2021"
"Cijuela";"3415";"227";"7";"204.97803806734993";"1";"228";"167";"5";"18/02/2021"
"Cogollos de la Vega";"2007";"243";"6";"298.95366218236171";"5";"244";"106";"7";"18/02/2021"
"Colomera";"1302";"138";"3";"230.41474654377879";"2";"138";"121";"0";"18/02/2021"
"Cúllar Vega";"7547";"615";"16";"212.0047701073274";"4";"617";"482";"10";"18/02/2021"
"Dehesas Viejas";"688";"31";"3";"436.04651162790697";"0";"31";"18";"0";"18/02/2021"
"Deifontes";"2600";"221";"6";"230.76923076923077";"2";"223";"170";"6";"18/02/2021"
"Dílar";"2092";"103";"2";"95.602294455066925";"2";"105";"79";"2";"18/02/2021"
"Domingo Pérez de Granada";"878";"61";"12";"1366.7425968109339";"6";"61";"41";"1";"18/02/2021"
"Dúdar";"327";"13";"0";"0";"0";"13";"5";"0";"18/02/2021"
"Dúrcal";"7111";"478";"4";"56.250878919983123";"2";"479";"409";"7";"18/02/2021"
"Escúzar";"791";"82";"3";"379.26675094816687";"0";"83";"41";"3";"18/02/2021"
"Fornes";"556";"27";"1";"179.85611510791367";"1";"27";"20";"0";"18/02/2021"
"Fuente Vaqueros";"4384";"516";"28";"638.68613138686135";"11";"518";"311";"11";"18/02/2021"
"Gabias (Las)";"21543";"1523";"56";"259.94522582741496";"23";"1536";"1106";"16";"18/02/2021"
"Gobernador";"229";"4";"0";"0";"0";"4";"4";"0";"18/02/2021"
"Gójar";"5909";"342";"11";"186.15671010323237";"2";"346";"275";"3";"18/02/2021"
"Guadahortuna";"1872";"114";"1";"53.418803418803421";"1";"114";"68";"2";"18/02/2021"
"Güéjar Sierra";"2857";"176";"2";"70.003500175008753";"1";"177";"142";"7";"18/02/2021"
"Güevéjar";"2640";"160";"11";"416.66666666666669";"4";"161";"121";"3";"18/02/2021"
"Huétor Tájar";"10399";"848";"34";"326.95451485719781";"11";"852";"651";"20";"18/02/2021"
"Huétor Vega";"12035";"963";"24";"199.41836310760283";"3";"976";"717";"4";"18/02/2021"
