n_personas_1_dosis;%personas_1_dosis;n_personas_pauta_completa;%personas_pauta_completa;cod_cuando;cod_donde_provincia;cod_quien_vacunas
131;5,1321950164327932;55;2,8602131029718585;59;7;6
0;0,27580772261623326;0;0,22327291830837931;59;1;7
3;0,23111367904087823;0;0,15527950310559005;59;2;7
1;0,27196905596518794;1;0,19340021757524478;59;3;7
0;0,24610336341263331;0;0,18970467596390483;59;8;7
3;0,30721966205837176;0;0,14457395861570435;59;4;7
0;0,163471541090801;0;0,12631891811561896;59;5;7
0;0,33044313271387016;1;0,24288982404609258;59;6;7
7;0,23942908947209374;1;0,14877147307003882;59;7;7
0;0,00076638336028448154;0;0;59;1;8
-1;0,0019163788105994912;0;0,00095818940529974561;59;2;8
0;0,0082734884336631703;0;0,0024820465300989508;59;3;8
1;0,0041143797572515944;0;0,0020571898786257972;59;8;8
0;0,0093665847090504632;0;0,0011708230886313079;59;4;8
0;0,0032105477194409367;0;0,0010701825731469789;59;5;8
-1;0,0043129164659962476;0;0,0028752776439974984;59;6;8
0;0,0050117333522010357;-1;0,003242886286718317;59;7;8
29;103,99082249878329;44;100,74741013696725;60;1;1
25;106,5061361100781;34;104,00892525102269;60;2;1
13;104,06831547571095;62;102,12277451059373;60;3;1
27;103,39313805531771;35;101,01156932635058;60;8;1
0;105,87330499898806;17;103,50131552317345;60;4;1
10;101,34305811263749;14;99,327290752018129;60;5;1
71;100,21087253484701;106;97,330274134295294;60;6;1
72;106,06248660114863;139;103,16156476017467;60;7;1
84;99,10798813455915;1089;85,612101066627389;60;1;2
367;100,34839874661427;2379;82,790376546816077;60;2;2
145;98,942029436475096;1275;88,387217226250115;60;3;2
256;99,178931493841986;996;85,067165638003743;60;8;2
68;100,94330053757987;858;89,910234303681918;60;4;2
67;96,366316203203297;639;88,059349513609121;60;5;2
407;92,419439456747426;3130;77,955118116054479;60;6;2
379;99,681301431765206;5261;85,307248523725718;60;7;2
278;85,086123742593358;189;11,376601901612236;60;1;3
1160;84,289526111003227;432;6,8878963758891265;60;2;3
380;93,425512030896371;896;11,339556146059698;60;3;3
793;87,977095487850391;374;11,24894415306343;60;8;3
188;88,419939081109675;536;9,533623944406953;60;4;3
823;93,577378955607742;1081;11,434921167393492;60;5;3
1601;76,226085267553657;1211;7,1083271287214185;60;6;3
1937;89,053968505183192;1269;9,7852536203212797;60;7;3
5326;46,290857131516802;180;8,070213737125167;60;1;4
7958;39,642011473855398;349;8,0015044205597086;60;2;4
4911;40,218324037096934;211;8,9565662233076999;60;3;4
6810;41,326922386881478;508;9,3824679751695435;60;8;4
3039;39,023979697534699;254;7,7416096954630209;60;4;4
3946;36,094585961830234;291;8,4225025952247865;60;5;4
11992;38,228547408875279;448;6,6878840649332449;60;6;4
9934;36,419152352683568;561;7,7260751996774575;60;7;4
50;10,984848484848484;42;4,8167925675088998;60;1;5
658;12,763004521931595;341;6,1742281647851742;60;2;5
349;14,132137317675104;168;6,4517607866808273;60;3;5
533;13,645266119022224;220;6,428272924034605;60;8;5
88;11,998758213897656;84;4,7529363067211676;60;4;5
194;13,662782388307146;107;5,9107409983516428;60;5;5
557;10,949229553536151;259;4,9481430264717501;60;6;5
857;12,083131256339495;227;5,6462815687183383;60;7;5
1;4,9342280923476745;1;2,1840901404439381;60;1;6
116;5,8047841627715151;83;2,7033269177893868;60;2;6
126;6,9107363225010285;58;2,7286439051144935;60;3;6
117;6,1342526639694572;25;2,8505897771952817;60;8;6
5;5,7890480290104618;12;2,3088361900289582;60;4;6
