"Fecha diagnóstico";"Territorio";"Confirmados PDIA";"Total confirmados";"Hospitalizados";"UCI";"Fallecidos"
"24/08/2020";"Cádiz";"77";"77";"1";"0";"0"
"24/08/2020";"Córdoba";"43";"43";"1";"0";"1"
"24/08/2020";"Granada";"59";"59";"5";"0";"0"
"24/08/2020";"Huelva";"2";"2";"0";"0";"0"
"24/08/2020";"Jaén";"41";"41";"2";"0";"0"
"24/08/2020";"Málaga";"191";"191";"15";"0";"2"
"24/08/2020";"Sevilla";"102";"102";"7";"2";"1"
"23/08/2020";"Andalucía";"711";"711";"50";"7";"10"
"23/08/2020";"Almería";"156";"156";"14";"3";"4"
"23/08/2020";"Cádiz";"87";"87";"7";"1";"2"
"23/08/2020";"Córdoba";"102";"102";"6";"2";"1"
"23/08/2020";"Granada";"45";"45";"1";"0";"0"
"23/08/2020";"Huelva";"6";"6";"0";"0";"0"
"23/08/2020";"Jaén";"26";"26";"2";"0";"0"
"23/08/2020";"Málaga";"224";"224";"12";"1";"2"
"23/08/2020";"Sevilla";"65";"65";"8";"0";"1"
"22/08/2020";"Andalucía";"729";"729";"37";"6";"5"
"22/08/2020";"Almería";"153";"153";"8";"0";"0"
"22/08/2020";"Cádiz";"52";"52";"1";"0";"0"
"22/08/2020";"Córdoba";"93";"93";"3";"1";"0"
"22/08/2020";"Granada";"72";"72";"6";"2";"1"
"22/08/2020";"Huelva";"10";"10";"0";"0";"0"
"22/08/2020";"Jaén";"22";"22";"2";"1";"1"
"22/08/2020";"Málaga";"227";"227";"13";"2";"3"
"22/08/2020";"Sevilla";"100";"100";"4";"0";"0"
"21/08/2020";"Andalucía";"779";"780";"36";"4";"6"
"21/08/2020";"Almería";"144";"145";"11";"0";"1"
"21/08/2020";"Cádiz";"97";"97";"1";"0";"1"
"21/08/2020";"Córdoba";"73";"73";"4";"1";"1"
"21/08/2020";"Granada";"85";"85";"4";"1";"2"
"21/08/2020";"Huelva";"7";"7";"1";"1";"0"
"21/08/2020";"Jaén";"26";"26";"1";"0";"0"
"21/08/2020";"Málaga";"280";"280";"12";"0";"1"
"21/08/2020";"Sevilla";"67";"67";"2";"1";"0"
"20/08/2020";"Andalucía";"759";"759";"39";"5";"6"
"20/08/2020";"Almería";"98";"98";"8";"1";"2"
"20/08/2020";"Cádiz";"111";"111";"8";"1";"1"
"20/08/2020";"Córdoba";"62";"62";"5";"2";"2"
"20/08/2020";"Granada";"80";"80";"1";"0";"0"
"20/08/2020";"Huelva";"19";"19";"0";"0";"0"
"20/08/2020";"Jaén";"45";"45";"1";"0";"0"
"20/08/2020";"Málaga";"240";"240";"11";"0";"0"
"20/08/2020";"Sevilla";"104";"104";"5";"1";"1"
"19/08/2020";"Andalucía";"743";"744";"47";"7";"5"
"19/08/2020";"Almería";"135";"135";"9";"1";"1"
"19/08/2020";"Cádiz";"90";"90";"3";"3";"2"
"19/08/2020";"Córdoba";"94";"94";"8";"1";"0"
"19/08/2020";"Granada";"80";"80";"6";"0";"1"
"19/08/2020";"Huelva";"5";"5";"0";"0";"0"
"19/08/2020";"Jaén";"16";"16";"3";"0";"0"
"19/08/2020";"Málaga";"206";"207";"12";"1";"1"
"19/08/2020";"Sevilla";"117";"117";"6";"1";"0"
"18/08/2020";"Andalucía";"655";"657";"38";"2";"8"
"18/08/2020";"Almería";"118";"118";"10";"1";"3"
"18/08/2020";"Cádiz";"91";"93";"9";"0";"0"
"18/08/2020";"Córdoba";"52";"52";"2";"0";"2"
"18/08/2020";"Granada";"67";"67";"8";"0";"1"
"18/08/2020";"Huelva";"14";"14";"0";"0";"0"
"18/08/2020";"Jaén";"21";"21";"0";"0";"0"
"18/08/2020";"Málaga";"226";"226";"7";"1";"2"
"18/08/2020";"Sevilla";"66";"66";"2";"0";"0"
"17/08/2020";"Andalucía";"540";"540";"37";"3";"3"
"17/08/2020";"Almería";"129";"129";"12";"1";"0"
"17/08/2020";"Cádiz";"52";"52";"3";"0";"0"
"17/08/2020";"Córdoba";"47";"47";"3";"0";"0"
"17/08/2020";"Granada";"40";"40";"3";"0";"0"
"17/08/2020";"Huelva";"3";"3";"0";"0";"0"
"17/08/2020";"Jaén";"17";"17";"1";"0";"1"
"17/08/2020";"Málaga";"202";"202";"12";"1";"2"
"17/08/2020";"Sevilla";"50";"50";"3";"1";"0"
"16/08/2020";"Andalucía";"400";"400";"26";"3";"4"
"16/08/2020";"Almería";"65";"65";"5";"0";"0"
"16/08/2020";"Cádiz";"59";"59";"2";"1";"1"
"16/08/2020";"Córdoba";"53";"53";"4";"0";"0"
"16/08/2020";"Granada";"29";"29";"4";"0";"1"
"16/08/2020";"Huelva";"1";"1";"0";"0";"0"
"16/08/2020";"Jaén";"21";"21";"1";"0";"0"
"16/08/2020";"Málaga";"138";"138";"8";"2";"1"
"16/08/2020";"Sevilla";"34";"34";"2";"0";"1"
"15/08/2020";"Andalucía";"589";"589";"36";"4";"4"
"15/08/2020";"Almería";"151";"151";"8";"1";"0"
"15/08/2020";"Cádiz";"89";"89";"2";"0";"0"
"15/08/2020";"Córdoba";"63";"63";"2";"0";"0"
"15/08/2020";"Granada";"52";"52";"6";"0";"2"
"15/08/2020";"Huelva";"3";"3";"1";"0";"0"
"15/08/2020";"Jaén";"20";"20";"0";"0";"0"
"15/08/2020";"Málaga";"136";"136";"7";"0";"1"
"15/08/2020";"Sevilla";"75";"75";"10";"3";"1"
"14/08/2020";"Andalucía";"691";"691";"30";"5";"2"
"14/08/2020";"Almería";"158";"158";"12";"3";"2"
"14/08/2020";"Cádiz";"78";"78";"2";"0";"0"
"14/08/2020";"Córdoba";"66";"66";"0";"0";"0"
"14/08/2020";"Granada";"48";"48";"4";"1";"0"
"14/08/2020";"Huelva";"7";"7";"1";"0";"0"
"14/08/2020";"Jaén";"13";"13";"0";"0";"0"
"14/08/2020";"Málaga";"216";"216";"7";"1";"0"
"14/08/2020";"Sevilla";"105";"105";"4";"0";"0"
"13/08/2020";"Andalucía";"599";"601";"41";"5";"10"
"13/08/2020";"Almería";"163";"164";"14";"2";"8"
"13/08/2020";"Cádiz";"54";"55";"4";"0";"0"
"13/08/2020";"Córdoba";"29";"29";"1";"0";"0"
"13/08/2020";"Granada";"46";"46";"5";"1";"1"
"13/08/2020";"Huelva";"9";"9";"2";"0";"0"
"13/08/2020";"Jaén";"29";"29";"3";"0";"0"
"13/08/2020";"Málaga";"207";"207";"10";"2";"1"
"13/08/2020";"Sevilla";"62";"62";"2";"0";"0"
"12/08/2020";"Andalucía";"564";"565";"30";"2";"1"
"12/08/2020";"Almería";"143";"143";"10";"1";"0"
"12/08/2020";"Cádiz";"55";"56";"3";"0";"0"
"12/08/2020";"Córdoba";"19";"19";"1";"0";"0"
"12/08/2020";"Granada";"47";"47";"1";"0";"0"
"12/08/2020";"Huelva";"17";"17";"1";"0";"0"
"12/08/2020";"Jaén";"28";"28";"3";"0";"0"
"12/08/2020";"Málaga";"201";"201";"8";"0";"1"
"12/08/2020";"Sevilla";"54";"54";"3";"1";"0"
"11/08/2020";"Andalucía";"464";"465";"19";"3";"1"
"11/08/2020";"Almería";"113";"114";"9";"1";"0"
"11/08/2020";"Cádiz";"56";"56";"1";"1";"0"
"11/08/2020";"Córdoba";"28";"28";"1";"0";"0"
"11/08/2020";"Granada";"34";"34";"0";"0";"0"
"11/08/2020";"Huelva";"6";"6";"1";"0";"0"
"11/08/2020";"Jaén";"5";"5";"0";"0";"0"
"11/08/2020";"Málaga";"168";"168";"5";"1";"1"
"11/08/2020";"Sevilla";"54";"54";"2";"0";"0"
"10/08/2020";"Andalucía";"263";"264";"18";"2";"0"
"10/08/2020";"Almería";"69";"69";"7";"0";"0"
"10/08/2020";"Cádiz";"29";"30";"2";"1";"0"
"10/08/2020";"Córdoba";"30";"30";"5";"1";"0"
"10/08/2020";"Granada";"16";"16";"0";"0";"0"
"10/08/2020";"Huelva";"1";"1";"0";"0";"0"
"10/08/2020";"Jaén";"12";"12";"1";"0";"0"
"10/08/2020";"Málaga";"82";"82";"3";"0";"0"
"10/08/2020";"Sevilla";"24";"24";"0";"0";"0"
"09/08/2020";"Andalucía";"258";"259";"24";"4";"2"
"09/08/2020";"Almería";"51";"51";"6";"0";"0"
"09/08/2020";"Cádiz";"34";"34";"1";"1";"1"
"09/08/2020";"Córdoba";"45";"45";"1";"0";"0"
"09/08/2020";"Granada";"28";"28";"2";"0";"0"
"09/08/2020";"Jaén";"3";"3";"0";"0";"0"
"09/08/2020";"Málaga";"74";"74";"10";"0";"0"
"09/08/2020";"Sevilla";"23";"24";"4";"3";"1"
"08/08/2020";"Andalucía";"346";"346";"15";"3";"3"
"08/08/2020";"Almería";"119";"119";"4";"2";"2"
"08/08/2020";"Cádiz";"32";"32";"4";"1";"1"
"08/08/2020";"Córdoba";"7";"7";"1";"0";"0"
"08/08/2020";"Granada";"14";"14";"2";"0";"0"
"08/08/2020";"Huelva";"10";"10";"0";"0";"0"
"08/08/2020";"Jaén";"24";"24";"2";"0";"0"
"08/08/2020";"Málaga";"93";"93";"2";"0";"0"
"08/08/2020";"Sevilla";"47";"47";"0";"0";"0"
"07/08/2020";"Andalucía";"363";"363";"11";"1";"0"
"07/08/2020";"Almería";"114";"114";"4";"1";"0"
"07/08/2020";"Cádiz";"28";"28";"2";"0";"0"
"07/08/2020";"Córdoba";"23";"23";"0";"0";"0"
"07/08/2020";"Granada";"35";"35";"1";"0";"0"
"07/08/2020";"Huelva";"3";"3";"0";"0";"0"
"07/08/2020";"Jaén";"32";"32";"1";"0";"0"
"07/08/2020";"Málaga";"96";"96";"3";"0";"0"
"07/08/2020";"Sevilla";"32";"32";"0";"0";"0"
"06/08/2020";"Andalucía";"324";"324";"17";"3";"2"
"06/08/2020";"Almería";"97";"97";"7";"2";"1"
"06/08/2020";"Cádiz";"28";"28";"1";"0";"0"
"06/08/2020";"Córdoba";"30";"30";"2";"1";"0"
"06/08/2020";"Granada";"21";"21";"1";"0";"1"
"06/08/2020";"Huelva";"7";"7";"0";"0";"0"
"06/08/2020";"Jaén";"21";"21";"2";"0";"0"
"06/08/2020";"Málaga";"93";"93";"4";"0";"0"
"06/08/2020";"Sevilla";"27";"27";"0";"0";"0"
"05/08/2020";"Andalucía";"328";"328";"24";"2";"2"
"05/08/2020";"Almería";"97";"97";"11";"1";"1"
"05/08/2020";"Cádiz";"16";"16";"2";"0";"0"
"05/08/2020";"Córdoba";"14";"14";"0";"0";"0"
"05/08/2020";"Granada";"21";"21";"2";"0";"1"
"05/08/2020";"Huelva";"3";"3";"1";"0";"0"
"05/08/2020";"Jaén";"31";"31";"4";"0";"0"
"05/08/2020";"Málaga";"113";"113";"3";"1";"0"
"05/08/2020";"Sevilla";"33";"33";"1";"0";"0"
"04/08/2020";"Andalucía";"237";"238";"22";"3";"1"
"04/08/2020";"Almería";"77";"77";"8";"1";"1"
"04/08/2020";"Cádiz";"10";"10";"3";"0";"0"
"04/08/2020";"Córdoba";"6";"6";"0";"0";"0"
"04/08/2020";"Granada";"14";"14";"1";"0";"0"
"04/08/2020";"Huelva";"4";"4";"0";"0";"0"
"04/08/2020";"Jaén";"4";"4";"2";"0";"0"
"04/08/2020";"Málaga";"74";"75";"4";"1";"0"
"04/08/2020";"Sevilla";"48";"48";"4";"1";"0"
"03/08/2020";"Andalucía";"193";"193";"16";"2";"0"
"03/08/2020";"Almería";"91";"91";"10";"1";"0"
"03/08/2020";"Cádiz";"10";"10";"0";"0";"0"
"03/08/2020";"Córdoba";"17";"17";"0";"0";"0"
"03/08/2020";"Granada";"10";"10";"1";"0";"0"
"03/08/2020";"Huelva";"1";"1";"0";"0";"0"
"03/08/2020";"Jaén";"3";"3";"0";"0";"0"
"03/08/2020";"Málaga";"32";"32";"2";"1";"0"
"03/08/2020";"Sevilla";"29";"29";"3";"0";"0"
"02/08/2020";"Andalucía";"162";"162";"10";"3";"1"
"02/08/2020";"Almería";"94";"94";"8";"3";"0"
"02/08/2020";"Cádiz";"9";"9";"1";"0";"1"
"02/08/2020";"Córdoba";"6";"6";"0";"0";"0"
"02/08/2020";"Granada";"8";"8";"0";"0";"0"
"02/08/2020";"Huelva";"1";"1";"0";"0";"0"
"02/08/2020";"Jaén";"1";"1";"0";"0";"0"
"02/08/2020";"Málaga";"26";"26";"0";"0";"0"
"02/08/2020";"Sevilla";"17";"17";"1";"0";"0"
"01/08/2020";"Andalucía";"192";"192";"18";"2";"3"
"01/08/2020";"Almería";"34";"34";"6";"1";"1"
"01/08/2020";"Cádiz";"26";"26";"4";"0";"1"
"01/08/2020";"Córdoba";"21";"21";"1";"0";"0"
"01/08/2020";"Granada";"18";"18";"2";"1";"0"
"01/08/2020";"Huelva";"3";"3";"0";"0";"0"
"01/08/2020";"Jaén";"5";"5";"0";"0";"0"
"01/08/2020";"Málaga";"56";"56";"4";"0";"1"
"01/08/2020";"Sevilla";"29";"29";"1";"0";"0"
"31/07/2020";"Andalucía";"246";"246";"6";"1";"3"
"31/07/2020";"Almería";"67";"67";"4";"1";"2"
"31/07/2020";"Cádiz";"31";"31";"0";"0";"0"
"31/07/2020";"Córdoba";"29";"29";"0";"0";"0"
"31/07/2020";"Granada";"12";"12";"0";"0";"0"
"31/07/2020";"Huelva";"9";"9";"0";"0";"0"
"31/07/2020";"Jaén";"11";"11";"0";"0";"0"
"31/07/2020";"Málaga";"65";"65";"2";"0";"1"
"31/07/2020";"Sevilla";"22";"22";"0";"0";"0"
"30/07/2020";"Andalucía";"203";"204";"10";"1";"1"
"30/07/2020";"Almería";"85";"85";"5";"0";"0"
"30/07/2020";"Cádiz";"12";"13";"0";"0";"0"
"30/07/2020";"Córdoba";"37";"37";"0";"0";"0"
"30/07/2020";"Granada";"21";"21";"3";"0";"0"
"30/07/2020";"Huelva";"7";"7";"1";"1";"1"
"30/07/2020";"Málaga";"25";"25";"1";"0";"0"
"30/07/2020";"Sevilla";"16";"16";"0";"0";"0"
"29/07/2020";"Andalucía";"151";"151";"8";"1";"0"
"29/07/2020";"Almería";"35";"35";"5";"0";"0"
"29/07/2020";"Cádiz";"8";"8";"0";"0";"0"
"29/07/2020";"Córdoba";"15";"15";"0";"0";"0"
"29/07/2020";"Granada";"6";"6";"0";"0";"0"
"29/07/2020";"Huelva";"2";"2";"1";"0";"0"
"29/07/2020";"Jaén";"4";"4";"0";"0";"0"
"29/07/2020";"Málaga";"50";"50";"2";"1";"0"
"29/07/2020";"Sevilla";"31";"31";"0";"0";"0"
"28/07/2020";"Andalucía";"108";"108";"11";"2";"2"
"28/07/2020";"Almería";"23";"23";"3";"1";"1"
"28/07/2020";"Cádiz";"3";"3";"1";"0";"0"
"28/07/2020";"Córdoba";"9";"9";"3";"1";"0"
"28/07/2020";"Granada";"9";"9";"0";"0";"0"
"28/07/2020";"Huelva";"5";"5";"1";"0";"1"
"28/07/2020";"Jaén";"1";"1";"0";"0";"0"
"28/07/2020";"Málaga";"37";"37";"1";"0";"0"
"28/07/2020";"Sevilla";"21";"21";"2";"0";"0"
"27/07/2020";"Andalucía";"88";"89";"8";"2";"1"
"27/07/2020";"Almería";"35";"35";"2";"1";"0"
"27/07/2020";"Cádiz";"3";"3";"0";"0";"0"
"27/07/2020";"Córdoba";"4";"4";"0";"0";"0"
"27/07/2020";"Granada";"5";"5";"0";"0";"0"
"27/07/2020";"Jaén";"1";"2";"1";"1";"1"
"27/07/2020";"Málaga";"24";"24";"4";"0";"0"
"27/07/2020";"Sevilla";"16";"16";"1";"0";"0"
"26/07/2020";"Andalucía";"62";"62";"1";"0";"0"
"26/07/2020";"Almería";"21";"21";"1";"0";"0"
"26/07/2020";"Cádiz";"5";"5";"0";"0";"0"
"26/07/2020";"Córdoba";"6";"6";"0";"0";"0"
"26/07/2020";"Granada";"12";"12";"0";"0";"0"
"26/07/2020";"Huelva";"1";"1";"0";"0";"0"
"26/07/2020";"Jaén";"1";"1";"0";"0";"0"
"26/07/2020";"Málaga";"10";"10";"0";"0";"0"
"26/07/2020";"Sevilla";"6";"6";"0";"0";"0"
"25/07/2020";"Andalucía";"101";"102";"6";"1";"0"
"25/07/2020";"Almería";"37";"37";"1";"0";"0"
"25/07/2020";"Cádiz";"4";"4";"2";"0";"0"
"25/07/2020";"Córdoba";"5";"5";"1";"1";"0"
"25/07/2020";"Granada";"7";"8";"1";"0";"0"
"25/07/2020";"Huelva";"3";"3";"0";"0";"0"
"25/07/2020";"Jaén";"1";"1";"0";"0";"0"
"25/07/2020";"Málaga";"27";"27";"1";"0";"0"
"25/07/2020";"Sevilla";"17";"17";"0";"0";"0"
"24/07/2020";"Andalucía";"133";"134";"7";"0";"0"
"24/07/2020";"Almería";"38";"38";"4";"0";"0"
"24/07/2020";"Cádiz";"4";"4";"0";"0";"0"
"24/07/2020";"Córdoba";"5";"5";"0";"0";"0"
"24/07/2020";"Granada";"13";"13";"1";"0";"0"
"24/07/2020";"Huelva";"4";"4";"0";"0";"0"
"24/07/2020";"Jaén";"3";"3";"1";"0";"0"
"24/07/2020";"Málaga";"24";"25";"1";"0";"0"
"24/07/2020";"Sevilla";"42";"42";"0";"0";"0"
"23/07/2020";"Andalucía";"109";"109";"7";"1";"0"
"23/07/2020";"Almería";"43";"43";"3";"1";"0"
"23/07/2020";"Cádiz";"1";"1";"0";"0";"0"
"23/07/2020";"Córdoba";"6";"6";"1";"0";"0"
"23/07/2020";"Granada";"14";"14";"1";"0";"0"
"23/07/2020";"Huelva";"1";"1";"0";"0";"0"
"23/07/2020";"Jaén";"6";"6";"1";"0";"0"
"23/07/2020";"Málaga";"29";"29";"1";"0";"0"
"23/07/2020";"Sevilla";"9";"9";"0";"0";"0"
"22/07/2020";"Andalucía";"81";"85";"7";"1";"1"
"22/07/2020";"Almería";"23";"23";"3";"0";"0"
"22/07/2020";"Cádiz";"2";"3";"1";"0";"0"
"22/07/2020";"Córdoba";"9";"10";"1";"0";"0"
