"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Cartaya";"20083";"9";"75";"373,45018174575512";"26";"9";"0";"0";"17/02/2021"
"Granado (El)";"532";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Huelva (capital)";"143837";"27";"494";"343,44431544039435";"186";"27";"5";"0";"17/02/2021"
"Isla Cristina";"21393";"10";"150";"701,16393212733135";"41";"10";"0";"0";"17/02/2021"
"Lepe";"27880";"9";"178";"638,45050215208039";"62";"9";"0";"0";"17/02/2021"
"Paymogo";"1162";"1";"4";"344,23407917383821";"0";"1";"0";"0";"17/02/2021"
"Puebla de Guzmán";"3092";"0";"10";"323,41526520051747";"2";"0";"0";"0";"17/02/2021"
"Punta Umbría";"15355";"3";"53";"345,16444154998374";"12";"3";"1";"0";"17/02/2021"
"San Silvestre de Guzmán";"614";"0";"2";"325,73289902280129";"0";"0";"0";"0";"17/02/2021"
"Sanlúcar de Guadiana";"403";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Santa Bárbara de Casa";"1043";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Villablanca";"2885";"0";"37";"1282,4956672443675";"5";"0";"0";"0";"17/02/2021"
"Villanueva de las Cruces";"387";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Villanueva de los Castillejos";"2825";"3";"17";"601,76991150442473";"7";"3";"0";"0";"17/02/2021"
"Municipio de Huelva sin especificar";"0";"-3";"69";NA;"12";"-3";"-1";"0";"17/02/2021"
"Alcalá la Real";"21709";"9";"99";"456,03206043576398";"32";"9";"10";"1";"17/02/2021"
"Alcaudete";"10483";"-1";"18";"171,70657254602691";"10";"-1";"16";"0";"17/02/2021"
"Castillo de Locubín";"4049";"3";"27";"666,8313163744134";"9";"3";"8";"0";"17/02/2021"
"Frailes";"1585";"1";"7";"441,64037854889591";"2";"1";"1";"0";"17/02/2021"
"Fuensanta de Martos";"3038";"1";"13";"427,91310072416064";"9";"1";"0";"0";"17/02/2021"
"Higuera de Calatrava";"614";"0";"1";"162,86644951140065";"0";"0";"0";"0";"17/02/2021"
"Lopera";"3652";"1";"12";"328,58707557502737";"1";"1";"13";"0";"17/02/2021"
"Martos";"24343";"7";"66";"271,12516945323091";"23";"7";"0";"0";"17/02/2021"
"Porcuna";"6156";"0";"8";"129,95451591942819";"0";"0";"12";"0";"17/02/2021"
"Santiago de Calatrava";"675";"0";"1";"148,14814814814815";"0";"0";"0";"0";"17/02/2021"
"Torredonjimeno";"13632";"1";"20";"146,71361502347418";"5";"1";"0";"0";"17/02/2021"
"Villardompardo";"968";"0";"1";"103,30578512396694";"0";"0";"0";"0";"17/02/2021"
"Albanchez de Mágina";"1011";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Bélmez de la Moraleda";"1569";"0";"8";"509,87890376035693";"2";"0";"0";"0";"17/02/2021"
"Cabra del Santo Cristo";"1782";"1";"8";"448,93378226711559";"2";"1";"0";"0";"17/02/2021"
"Cambil";"2683";"2";"10";"372,71710771524414";"5";"2";"0";"0";"17/02/2021"
"Campillo de Arenas";"1751";"0";"3";"171,33066818960594";"0";"0";"0";"0";"17/02/2021"
"Cárcheles";"1332";"0";"1";"75,075075075075077";"0";"0";"0";"0";"17/02/2021"
"Cazalilla";"803";"1";"7";"871,73100871731003";"1";"1";"0";"0";"17/02/2021"
"Espeluy";"620";"0";"1";"161,29032258064515";"0";"0";"0";"0";"17/02/2021"
"Fuerte del Rey";"1355";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Guardia de Jaén (La)";"4983";"1";"22";"441,50110375275938";"6";"1";"0";"0";"17/02/2021"
"Huelma";"5744";"0";"15";"261,14206128133702";"5";"0";"0";"0";"17/02/2021"
"Jaén (capital)";"112757";"19";"291";"258,07710386051423";"87";"19";"0";"1";"17/02/2021"
"Jamilena";"3271";"0";"8";"244,57352491592786";"0";"0";"0";"0";"17/02/2021"
"Jimena";"1269";"0";"3";"236,40661938534279";"2";"0";"0";"0";"17/02/2021"
"Mancha Real";"11328";"9";"63";"556,14406779661022";"24";"9";"0";"0";"17/02/2021"
"Mengíbar";"9997";"1";"34";"340,10203060918275";"11";"1";"0";"0";"17/02/2021"
"Noalejo";"1932";"1";"6";"310,55900621118013";"2";"1";"0";"0";"17/02/2021"
"Pegalajar";"2875";"0";"2";"69,565217391304344";"1";"0";"0";"0";"17/02/2021"
"Torredelcampo";"14142";"0";"27";"190,92066185829444";"7";"0";"1";"0";"17/02/2021"
"Torres";"1372";"0";"2";"145,77259475218659";"0";"0";"0";"0";"17/02/2021"
"Valdepeñas de Jaén";"3679";"0";"10";"271,81299266104918";"2";"0";"0";"0";"17/02/2021"
"Villares (Los)";"6020";"0";"14";"232,55813953488371";"8";"0";"0";"1";"17/02/2021"
"Villatorres";"4298";"1";"3";"69,799906933457422";"0";"1";"0";"0";"17/02/2021"
"Aldeaquemada";"476";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Andújar";"36615";"8";"205";"559,87983067049026";"73";"8";"0";"0";"17/02/2021"
"Arjona";"5515";"2";"13";"235,7207615593835";"3";"2";"0";"0";"17/02/2021"
"Arjonilla";"3571";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Arquillos";"1722";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Bailén";"17548";"13";"103";"586,96147709140644";"43";"13";"0";"0";"17/02/2021"
"Baños de la Encina";"2576";"0";"5";"194,09937888198758";"1";"0";"0";"0";"17/02/2021"
"Carboneros";"591";"1";"2";"338,40947546531305";"2";"1";"0";"0";"17/02/2021"
"Carolina (La)";"15160";"5";"32";"211,08179419525067";"12";"5";"0";"0";"17/02/2021"
"Castellar";"3292";"0";"12";"364,52004860267317";"4";"0";"0";"0";"17/02/2021"
"Chiclana de Segura";"955";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Escañuela";"944";"0";"1";"105,93220338983051";"0";"0";"0";"0";"17/02/2021"
"Guarromán";"2739";"4";"20";"730,19350127783866";"10";"4";"0";"0";"17/02/2021"
"Jabalquinto";"2017";"0";"1";"49,578582052553294";"0";"0";"0";"0";"17/02/2021"
"Lahiguera";"1686";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
