fecha;mes;anio;semana;nombre_mes;es_dia_natural;es_dia_habil;cod_cuando
18/01/2021;1;2021;3;Enero;TRUE;FALSE;170
17/01/2021;1;2021;3;Enero;TRUE;FALSE;171
16/01/2021;1;2021;3;Enero;TRUE;FALSE;172
15/01/2021;1;2021;3;Enero;TRUE;FALSE;173
14/01/2021;1;2021;2;Enero;TRUE;FALSE;174
13/01/2021;1;2021;2;Enero;TRUE;FALSE;175
12/01/2021;1;2021;2;Enero;TRUE;FALSE;176
11/01/2021;1;2021;2;Enero;TRUE;FALSE;177
10/01/2021;1;2021;2;Enero;TRUE;FALSE;178
09/01/2021;1;2021;2;Enero;TRUE;FALSE;179
08/01/2021;1;2021;2;Enero;TRUE;FALSE;180
07/01/2021;1;2021;1;Enero;TRUE;FALSE;181
06/01/2021;1;2021;1;Enero;TRUE;FALSE;182
05/01/2021;1;2021;1;Enero;TRUE;FALSE;183
04/01/2021;1;2021;1;Enero;TRUE;FALSE;184
03/01/2021;1;2021;1;Enero;TRUE;FALSE;185
02/01/2021;1;2021;1;Enero;TRUE;FALSE;186
01/01/2021;1;2021;1;Enero;TRUE;FALSE;187
31/12/2020;12;2020;53;Diciembre;TRUE;FALSE;188
30/12/2020;12;2020;53;Diciembre;TRUE;FALSE;189
29/12/2020;12;2020;52;Diciembre;TRUE;FALSE;190
28/12/2020;12;2020;52;Diciembre;TRUE;FALSE;191
27/12/2020;12;2020;52;Diciembre;TRUE;FALSE;192
26/12/2020;12;2020;52;Diciembre;TRUE;FALSE;193
25/12/2020;12;2020;52;Diciembre;TRUE;FALSE;194
24/12/2020;12;2020;52;Diciembre;TRUE;FALSE;195
23/12/2020;12;2020;52;Diciembre;TRUE;FALSE;196
22/12/2020;12;2020;51;Diciembre;TRUE;FALSE;197
21/12/2020;12;2020;51;Diciembre;TRUE;FALSE;198
20/12/2020;12;2020;51;Diciembre;TRUE;FALSE;199
19/12/2020;12;2020;51;Diciembre;TRUE;FALSE;200
18/12/2020;12;2020;51;Diciembre;TRUE;FALSE;201
17/12/2020;12;2020;51;Diciembre;TRUE;FALSE;202
16/12/2020;12;2020;51;Diciembre;TRUE;FALSE;203
15/12/2020;12;2020;50;Diciembre;TRUE;FALSE;204
14/12/2020;12;2020;50;Diciembre;TRUE;FALSE;205
13/12/2020;12;2020;50;Diciembre;TRUE;FALSE;206
12/12/2020;12;2020;50;Diciembre;TRUE;FALSE;207
11/12/2020;12;2020;50;Diciembre;TRUE;FALSE;208
10/12/2020;12;2020;50;Diciembre;TRUE;FALSE;209
09/12/2020;12;2020;50;Diciembre;TRUE;FALSE;210
08/12/2020;12;2020;49;Diciembre;TRUE;FALSE;211
07/12/2020;12;2020;49;Diciembre;TRUE;FALSE;212
06/12/2020;12;2020;49;Diciembre;TRUE;FALSE;213
05/12/2020;12;2020;49;Diciembre;TRUE;FALSE;214
04/12/2020;12;2020;49;Diciembre;TRUE;FALSE;215
03/12/2020;12;2020;49;Diciembre;TRUE;FALSE;216
02/12/2020;12;2020;49;Diciembre;TRUE;FALSE;217
01/12/2020;12;2020;48;Diciembre;TRUE;FALSE;218
30/11/2020;11;2020;48;Noviembre;TRUE;FALSE;219
29/11/2020;11;2020;48;Noviembre;TRUE;FALSE;220
