confirmados_pdia;total_confirmados;hospitalizados;uci;fallecidos;cod_cuando;cod_donde_provincia
107;107;8;1;1;62;2
67;67;5;0;0;62;3
190;190;14;2;0;62;4
76;76;6;1;1;62;5
91;91;2;0;0;62;6
209;209;7;0;0;62;7
320;320;17;1;0;62;8
20;20;3;0;0;106;1
51;51;6;1;0;106;2
31;31;1;1;0;106;3
90;90;9;1;1;106;4
49;50;3;1;1;106;5
51;51;6;0;0;106;6
77;77;11;2;0;106;7
130;130;15;1;0;106;8
42;42;3;1;0;107;1
69;69;5;1;0;107;2
53;53;6;1;0;107;3
70;70;9;0;0;107;4
61;61;8;0;0;107;5
81;81;4;0;0;107;6
97;97;9;0;1;107;7
258;258;16;3;1;107;8
67;67;4;1;0;61;1
148;148;3;0;0;61;2
75;75;1;0;0;61;3
230;230;18;4;1;61;4
118;119;4;2;0;61;5
113;113;4;1;0;61;6
189;189;12;2;0;61;7
423;423;20;1;3;61;8
59;59;4;4;0;60;1
116;116;3;0;0;60;2
107;107;5;2;0;60;3
189;189;12;2;1;60;4
105;106;3;0;0;60;5
116;116;4;1;0;60;6
226;226;13;1;1;60;7
431;431;23;2;1;60;8
33;33;3;0;0;59;1
136;136;7;0;0;59;2
89;89;5;3;0;59;3
188;188;15;2;1;59;4
131;131;10;1;2;59;5
161;161;11;2;0;59;6
196;196;18;1;1;59;7
386;386;18;3;2;59;8
65;65;4;0;1;58;1
129;129;4;0;0;58;2
72;72;2;0;1;58;3
208;208;14;2;0;58;4
147;147;10;1;1;58;5
131;132;7;2;0;58;6
202;202;14;4;1;58;7
432;432;33;3;4;58;8
41;41;3;0;0;57;1
90;90;4;1;1;57;2
74;75;4;0;0;57;3
168;168;13;0;1;57;4
83;83;7;0;0;57;5
84;85;13;1;1;57;6
157;157;6;0;0;57;7
292;292;23;3;2;57;8
13;13;1;0;0;108;1
55;55;4;0;0;108;2
27;28;4;0;0;108;3
64;64;8;0;1;108;4
49;49;4;0;1;108;5
48;48;4;0;0;108;6
46;46;2;1;0;108;7
155;155;16;1;2;108;8
46;46;4;0;0;109;1
54;54;4;0;0;109;2
58;58;4;1;1;109;3
81;81;9;3;0;109;4
58;58;3;0;0;109;5
76;76;8;2;2;109;6
101;101;6;1;0;109;7
266;266;17;0;0;109;8
40;40;3;0;0;56;1
93;93;6;1;0;56;2
80;80;2;0;0;56;3
231;231;19;5;1;56;4
119;119;1;0;0;56;5
111;111;5;2;0;56;6
215;215;15;2;1;56;7
387;387;32;3;1;56;8
51;52;4;1;1;55;1
89;89;2;1;1;55;2
128;128;2;0;0;55;3
190;190;16;2;1;55;4
126;126;8;0;1;55;5
133;133;7;0;0;55;6
221;221;9;0;0;55;7
379;379;25;1;1;55;8
60;60;2;0;0;54;1
109;109;6;1;1;54;2
68;68;8;2;0;54;3
260;260;17;3;0;54;4
117;117;13;1;1;54;5
119;119;16;4;1;54;6
215;215;11;0;0;54;7
461;461;29;4;2;54;8
61;61;5;3;0;53;1
127;127;3;0;0;53;2
98;98;4;1;0;53;3
237;237;22;4;0;53;4
104;104;8;1;0;53;5
117;117;15;0;0;53;6
202;202;10;2;1;53;7
360;360;33;5;2;53;8
43;43;4;0;0;52;1
84;84;12;0;0;52;2
80;80;5;0;1;52;3
237;237;20;5;0;52;4
88;88;8;0;0;52;5
99;99;6;0;0;52;6
159;159;10;0;1;52;7
373;373;24;2;1;52;8
33;33;6;0;0;110;1
39;39;2;0;0;110;2
40;40;6;0;0;110;3
61;61;6;0;1;110;4
37;37;4;0;0;110;5
53;53;11;2;3;110;6
51;51;5;2;1;110;7
153;153;19;5;1;110;8
73;73;3;0;0;111;1
50;50;2;0;0;111;2
37;37;3;1;0;111;3
78;78;10;2;2;111;4
39;39;2;0;0;111;5
70;70;9;2;1;111;6
111;111;6;2;1;111;7
242;242;18;0;1;111;8
75;75;5;0;0;51;1
129;129;6;1;1;51;2
102;102;7;1;0;51;3
239;239;17;2;2;51;4
101;102;3;0;0;51;5
113;114;8;2;1;51;6
250;252;10;1;1;51;7
435;435;35;3;4;51;8
89;89;6;3;2;50;1
95;95;6;1;1;50;2
91;91;6;2;0;50;3
250;250;17;2;0;50;4
87;87;10;1;0;50;5
148;148;13;4;1;50;6
197;197;8;2;0;50;7
318;318;17;2;0;50;8
87;87;4;0;1;49;1
62;62;6;1;1;49;2
118;118;8;0;1;49;3
277;277;23;5;1;49;4
92;92;6;0;0;49;5
145;145;10;0;0;49;6
261;261;13;0;1;49;7
416;416;25;2;1;49;8
93;93;11;6;0;48;1
86;86;5;0;0;48;2
100;100;7;1;2;48;3
343;343;26;1;3;48;4
81;81;7;1;1;48;5
98;98;8;0;0;48;6
241;242;16;2;0;48;7
417;417;32;3;1;48;8
54;54;5;1;0;47;1
75;75;6;1;0;47;2
67;67;12;2;2;47;3
253;253;23;4;3;47;4
75;75;7;0;2;47;5
64;64;6;0;0;47;6
182;182;12;1;1;47;7
236;236;20;2;3;47;8
42;42;7;2;1;112;1
25;25;2;0;0;112;2
54;54;8;2;1;112;3
78;78;20;4;1;112;4
39;39;5;1;1;112;5
35;35;6;1;0;112;6
60;60;2;0;0;112;7
101;101;9;3;2;112;8
46;46;1;0;0;113;1
72;72;9;1;1;113;2
48;48;13;3;1;113;3
117;117;10;1;1;113;4
27;27;2;0;0;113;5
67;67;6;0;0;113;6
84;84;6;1;0;113;7
261;261;23;3;3;113;8
91;91;8;3;1;46;1
132;132;9;2;1;46;2
171;171;2;0;1;46;3
364;364;23;5;3;46;4
90;92;5;0;0;46;5
152;153;6;1;0;46;6
202;202;2;1;0;46;7
364;364;25;7;2;46;8
97;97;7;1;1;45;1
139;139;8;1;1;45;2
100;100;11;2;2;45;3
347;347;26;8;2;45;4
92;92;7;0;0;45;5
132;132;7;2;0;45;6
226;226;16;2;1;45;7
466;466;35;3;2;45;8
133;133;9;0;1;44;1
118;118;3;0;0;44;2
95;95;12;2;3;44;3
337;337;31;7;2;44;4
115;115;12;2;0;44;5
143;143;8;0;0;44;6
231;231;15;1;1;44;7
439;439;27;6;3;44;8
113;113;4;1;0;43;1
166;166;16;3;3;43;2
146;147;10;2;1;43;3
357;357;32;5;3;43;4
108;108;8;0;1;43;5
156;156;8;0;1;43;6
208;208;18;3;3;43;7
318;318;23;3;1;43;8
78;78;6;0;0;42;1
91;91;9;1;2;42;2
76;76;3;0;0;42;3
285;285;22;2;2;42;4
106;106;11;1;1;42;5
103;103;17;2;1;42;6
172;172;10;2;0;42;7
340;340;32;6;3;42;8
91;91;5;0;0;114;1
41;41;13;0;1;114;2
49;49;8;2;1;114;3
133;133;25;2;1;114;4
46;46;4;1;0;114;5
46;46;9;1;2;114;6
74;74;8;1;0;114;7
203;204;16;2;0;114;8
118;118;6;1;0;115;1
93;93;11;3;4;115;2
117;117;7;1;0;115;3
151;151;21;3;2;115;4
76;76;5;0;0;115;5
106;106;9;2;0;115;6
102;102;4;0;1;115;7
293;293;22;3;0;115;8
122;122;11;4;3;41;1
214;214;7;1;1;41;2
193;193;7;1;1;41;3
341;341;33;6;1;41;4
101;101;6;1;1;41;5
108;109;4;0;1;41;6
174;174;15;2;1;41;7
606;606;53;1;3;41;8
184;184;10;1;1;40;1
178;178;10;1;1;40;2
118;119;8;0;1;40;3
326;326;25;5;2;40;4
87;87;7;1;0;40;5
164;164;8;1;0;40;6
209;209;12;1;0;40;7
350;351;38;3;2;40;8
162;162;11;3;2;39;1
187;187;14;4;4;39;2
124;125;10;3;0;39;3
395;395;43;10;3;39;4
121;121;7;0;1;39;5
249;249;16;4;0;39;6
216;216;11;0;1;39;7
344;344;21;2;3;39;8
157;157;14;7;2;38;1
210;210;13;2;0;38;2
157;157;12;0;0;38;3
