"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
1;1;6;1;25;502
0;0;0;0;26;502
0;0;1;0;27;502
0;0;0;0;28;502
0;0;0;0;29;502
0;0;0;0;30;502
0;0;0;0;31;502
-1;-1;0;0;32;502
0;0;0;0;33;502
0;0;0;0;34;502
0;0;0;0;35;502
0;0;0;0;36;502
0;0;0;0;1;503
0;0;0;0;2;503
0;0;0;0;3;503
0;0;1;0;4;503
0;0;0;0;5;503
0;0;1;0;6;503
0;0;0;0;7;503
0;0;0;0;8;503
0;0;0;0;9;503
27;27;28;0;10;503
2;2;3;0;11;503
1;1;1;0;12;503
0;0;0;0;13;503
1;1;1;0;14;503
0;0;0;0;15;503
0;0;0;0;16;503
0;0;0;0;17;503
0;0;0;0;18;503
-1;-1;0;0;19;503
0;0;0;0;20;503
0;0;0;0;21;503
0;0;0;0;22;503
0;0;1;1;23;503
1;1;1;1;24;503
0;0;3;0;25;503
1;1;1;1;26;503
0;0;0;0;27;503
15;15;15;0;28;503
0;0;0;0;29;503
1;1;1;0;30;503
0;0;0;0;31;503
2;2;2;0;32;503
0;0;0;0;33;503
0;0;0;0;34;503
0;0;0;0;35;503
0;0;0;0;36;503
0;0;0;0;1;504
0;0;0;0;2;504
0;0;0;0;3;504
0;0;0;0;4;504
1;1;0;0;5;504
0;0;0;0;6;504
0;0;0;0;7;504
0;0;0;0;8;504
0;0;0;0;9;504
0;0;0;0;10;504
0;0;0;0;11;504
0;0;0;0;12;504
0;0;0;0;13;504
0;0;0;0;14;504
0;0;0;0;15;504
0;0;0;0;16;504
0;0;0;0;17;504
0;0;0;0;18;504
0;0;0;0;19;504
0;0;0;0;20;504
0;0;0;0;21;504
0;0;0;0;22;504
0;0;0;0;23;504
1;1;0;0;24;504
0;0;0;0;25;504
0;0;-1;0;26;504
0;0;0;0;27;504
0;0;1;0;28;504
0;0;0;0;29;504
0;0;0;0;30;504
0;0;0;0;31;504
0;0;0;0;32;504
0;0;0;0;33;504
0;0;0;0;34;504
0;0;0;0;35;504
0;0;0;0;36;504
0;0;0;0;1;505
0;0;0;0;2;505
0;0;0;0;3;505
0;0;0;0;4;505
0;0;0;0;5;505
0;0;0;0;6;505
0;0;0;0;7;505
0;0;0;0;8;505
0;0;0;0;9;505
0;0;1;0;10;505
0;0;0;0;11;505
0;0;0;0;12;505
0;0;0;0;13;505
0;0;0;0;14;505
0;0;0;0;15;505
0;0;0;0;16;505
0;0;0;0;17;505
0;0;0;0;18;505
0;0;0;0;19;505
0;0;0;0;20;505
0;0;0;0;21;505
0;0;1;0;22;505
0;0;0;0;23;505
0;0;1;0;24;505
0;0;0;0;25;505
0;0;0;0;26;505
0;0;0;0;27;505
1;1;1;0;28;505
0;0;0;0;29;505
0;0;0;0;30;505
