"Fecha";"Mes";"Año";"Semana";"Nombre del Mes";"Tipo de Fecha";"cod_cuando"
"10/10/2020";10;2020;41;"Octubre";"Día natural";209
"09/10/2020";10;2020;41;"Octubre";"Día natural";210
"08/10/2020";10;2020;41;"Octubre";"Día natural";211
"07/10/2020";10;2020;41;"Octubre";"Día natural";212
"06/10/2020";10;2020;40;"Octubre";"Día natural";213
"05/10/2020";10;2020;40;"Octubre";"Día natural";214
"04/10/2020";10;2020;40;"Octubre";"Día natural";215
"03/10/2020";10;2020;40;"Octubre";"Día natural";216
"02/10/2020";10;2020;40;"Octubre";"Día natural";217
"01/10/2020";10;2020;40;"Octubre";"Día natural";218
"30/09/2020";9;2020;40;"Septiembre";"Día natural";219
"29/09/2020";9;2020;39;"Septiembre";"Día natural";220
"28/09/2020";9;2020;39;"Septiembre";"Día natural";221
"27/09/2020";9;2020;39;"Septiembre";"Día natural";222
"26/09/2020";9;2020;39;"Septiembre";"Día natural";223
"25/09/2020";9;2020;39;"Septiembre";"Día natural";224
"24/09/2020";9;2020;39;"Septiembre";"Día natural";225
"23/09/2020";9;2020;39;"Septiembre";"Día natural";226
"22/09/2020";9;2020;38;"Septiembre";"Día natural";227
"21/09/2020";9;2020;38;"Septiembre";"Día natural";228
"20/09/2020";9;2020;38;"Septiembre";"Día natural";229
"19/09/2020";9;2020;38;"Septiembre";"Día natural";230
"18/09/2020";9;2020;38;"Septiembre";"Día natural";231
"17/09/2020";9;2020;38;"Septiembre";"Día natural";232
"16/09/2020";9;2020;38;"Septiembre";"Día natural";233
"15/09/2020";9;2020;37;"Septiembre";"Día natural";234
"14/09/2020";9;2020;37;"Septiembre";"Día natural";235
"13/09/2020";9;2020;37;"Septiembre";"Día natural";236
"12/09/2020";9;2020;37;"Septiembre";"Día natural";237
"11/09/2020";9;2020;37;"Septiembre";"Día natural";238
"10/09/2020";9;2020;37;"Septiembre";"Día natural";239
"09/09/2020";9;2020;37;"Septiembre";"Día natural";240
"08/09/2020";9;2020;36;"Septiembre";"Día natural";241
"07/09/2020";9;2020;36;"Septiembre";"Día natural";242
"06/09/2020";9;2020;36;"Septiembre";"Día natural";243
"05/09/2020";9;2020;36;"Septiembre";"Día natural";244
"04/09/2020";9;2020;36;"Septiembre";"Día natural";245
"03/09/2020";9;2020;36;"Septiembre";"Día natural";246
